en,counts
11.77762212,285
11.78762112,248
11.79762012,243
11.80761912,141
11.81761812,69
11.82761712,196
11.83761612,165
11.84761512,112
11.85761412,226
11.86761312,294
11.87761212,193
11.88761112,156
11.89761012,134
11.90760912,148
11.91760812,149
11.92760712,214
11.93760612,206
11.94760512,112
11.95760412,42
11.96760312,97
11.97760212,255
11.98760112,312
11.99760012,284
12.00759912,157
12.01759812,209
12.02759712,234
12.03759612,213
12.04759512,177
12.05759412,173
12.06759312,141
12.07759212,215
12.08759112,115
12.09759012,147
12.10758912,109
12.11758812,186
12.12758712,153
12.13758612,122
12.14758512,65
12.15758412,93
12.16758312,57
12.17758212,174
12.18758112,169
12.19758012,146
12.20757912,213
12.21757812,170
12.22757712,119
12.23757612,249
12.24757512,189
12.25757412,210
12.26757312,141
12.27757212,213
12.28757112,182
12.29757012,165
12.30756912,174
12.31756812,145
12.32756712,64
12.33756612,180
12.34756512,0
12.35756412,169
12.36756312,105
12.37756212,27
12.38756112,137
12.39756012,138
12.40755912,131
12.41755812,113
12.42755712,130
12.43755612,177
12.44755512,177
12.45755412,58
12.46755312,231
12.47755212,146
12.48755112,125
12.49755012,110
12.50754912,87
12.51754812,166
12.52754712,242
12.53754612,221
12.54754512,221
12.55754412,107
12.56754312,221
12.57754212,237
12.58754112,222
12.59754012,191
12.60753912,136
12.61753812,149
12.62753712,240
12.63753612,129
12.64753512,134
12.65753412,236
12.66753312,241
12.67753212,239
12.68753112,212
12.69753012,138
12.70752912,68
12.71752812,174
12.72752712,134
12.73752612,114
12.74752512,196
12.75752412,203
12.76752312,145
12.77752212,96
12.78752112,112
12.79752012,129
12.80751912,96
12.81751812,167
12.82751712,24
12.83751612,136
12.84751512,263
12.85751412,240
12.86751312,234
12.87751212,156
12.88751112,138
12.89751012,148
12.90750912,167
12.91750812,167
12.92750712,144
12.93750612,100
12.94750512,199
12.95750412,78
12.96750312,184
12.97750212,240
12.98750112,133
12.99750012,71
13.00749912,51
13.01749812,99
13.02749712,181
13.03749612,113
